Name,Count,Yards,Declined,Offsetting,Home_Count,Away_Count,Off_Count,Def_Count,ST_Count,Week,Year
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,1,2009
Offensive Holding,31,299,3,1,21,10,24,0,7,1,2009
Offensive Offside,1,5,0,0,0,1,1,0,0,1,2009
Offensive Pass Interference,5,47,0,0,3,2,5,0,0,1,2009
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,1,2009
Offside on Free Kick,0,0,1,0,0,0,0,0,0,1,2009
Personal Foul,7,63,1,2,3,4,2,5,0,1,2009
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,1,2009
Player Out of Bounds on Punt,0,0,0,0,0,0,0,0,0,1,2009
Roughing the Kicker,0,0,0,0,0,0,0,0,0,1,2009
Roughing the Passer,4,60,0,0,3,1,0,4,0,1,2009
Running Into the Kicker,1,5,0,0,1,0,0,0,1,1,2009
Short Free Kick,0,0,0,0,0,0,0,0,0,1,2009
Taunting,1,15,1,0,0,1,1,0,0,1,2009
Tripping,1,10,0,0,1,0,1,0,0,1,2009
Unnecessary Roughness,10,145,1,0,3,7,3,5,2,1,2009
Unsportsmanlike Conduct,4,56,0,0,0,4,2,1,1,1,2009
Chop Block,2,26,0,0,2,0,2,0,0,2,2009
Clipping,0,0,0,0,0,0,0,0,0,2,2009
Defensive 12 On-field,3,16,1,0,3,0,0,3,0,2,2009
Defensive Delay of Game,1,5,0,0,1,0,0,1,0,2,2009
Defensive Holding,6,30,2,0,2,4,0,6,0,2,2009
Defensive Offside,18,90,9,0,10,8,0,16,2,2,2009
Defensive Pass Interference,10,167,3,0,4,6,0,10,0,2,2009
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,2,2009
Delay of Game,13,64,1,0,4,9,10,0,3,2,2009
Delay of Kickoff,0,0,0,0,0,0,0,0,0,2,2009
Disqualification,0,0,0,1,0,0,0,0,0,2,2009
Encroachment,3,15,0,0,2,1,0,3,0,2,2009
Face Mask,0,0,0,0,0,0,0,0,0,2,2009
Face Mask (15 Yards),10,150,0,0,1,9,1,8,1,2,2009
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,2,2009
Fair Catch Interference,0,0,0,0,0,0,0,0,0,2,2009
False Start,58,276,0,0,29,29,55,0,3,2,2009
Horse Collar Tackle,0,0,0,0,0,0,0,0,0,2,2009
Illegal Bat,0,0,0,0,0,0,0,0,0,2,2009
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,2,2009
Illegal Block Above the Waist,11,103,1,0,5,6,4,1,6,2,2009
Illegal Contact,3,15,2,0,3,0,0,3,0,2,2009
Illegal Crackback,0,0,0,0,0,0,0,0,0,2,2009
Illegal Cut,0,0,0,0,0,0,0,0,0,2,2009
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,2,2009
Illegal Formation,3,15,4,0,1,2,2,0,1,2,2009
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,2,2009
Illegal Forward Pass,0,0,0,0,0,0,0,0,0,2,2009
Illegal Kick,0,0,0,0,0,0,0,0,0,2,2009
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,2,2009
Illegal Motion,2,10,0,0,1,1,2,0,0,2,2009
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,2,2009
Illegal Peelback,0,0,0,0,0,0,0,0,0,2,2009
Illegal Procedure,0,0,0,0,0,0,0,0,0,2,2009
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,2,2009
Illegal Shift,2,10,0,0,2,0,1,0,1,2,2009
Illegal Substitution,0,0,0,0,0,0,0,0,0,2,2009
Illegal Touch Kick,2,10,0,0,1,1,0,0,2,2,2009
Illegal Touch Pass,1,5,0,0,0,1,1,0,0,2,2009
Illegal Use of Hands,4,30,2,0,2,2,0,4,0,2,2009
Illegal Wedge,0,0,0,0,0,0,0,0,0,2,2009
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,2,2009
Ineligible Downfield Kick,3,15,0,0,3,0,0,0,3,2,2009
Ineligible Downfield Pass,2,10,1,0,2,0,2,0,0,2,2009
Intentional Grounding,1,10,0,0,1,0,1,0,0,2,2009
Interference with Opportunity to Catch,1,15,0,0,1,0,0,0,1,2,2009
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,2,2009
Kick Catch Interference,0,0,0,0,0,0,0,0,0,2,2009
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,2,2009
Leaping,0,0,0,0,0,0,0,0,0,2,2009
Leverage,0,0,0,0,0,0,0,0,0,2,2009
Low Block,0,0,0,0,0,0,0,0,0,2,2009
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,2,2009
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,2,2009
Neutral Zone Infraction,3,12,0,0,2,1,0,2,1,2,2009
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,2,2009
Offensive Holding,33,321,7,0,19,14,22,0,11,2,2009
Offensive Offside,0,0,0,0,0,0,0,0,0,2,2009
Offensive Pass Interference,2,20,0,0,0,2,2,0,0,2,2009
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,2,2009
Offside on Free Kick,2,10,0,0,2,0,0,0,2,2,2009
Personal Foul,6,71,1,1,4,2,1,3,2,2,2009
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,2,2009
Player Out of Bounds on Punt,0,0,0,0,0,0,0,0,0,2,2009
Roughing the Kicker,0,0,0,0,0,0,0,0,0,2,2009
Roughing the Passer,6,58,0,0,3,3,0,6,0,2,2009
Running Into the Kicker,1,5,1,0,1,0,0,0,1,2,2009
Short Free Kick,0,0,0,0,0,0,0,0,0,2,2009
Taunting,0,0,0,0,0,0,0,0,0,2,2009
Tripping,1,6,0,0,1,0,1,0,0,2,2009
Unnecessary Roughness,6,66,1,0,2,4,1,2,3,2,2009
Unsportsmanlike Conduct,2,30,0,0,2,0,0,0,2,2,2009
Chop Block,2,15,0,0,0,2,1,0,1,3,2009
Clipping,1,15,0,0,0,1,1,0,0,3,2009
Defensive 12 On-field,0,0,0,0,0,0,0,0,0,3,2009
Defensive Delay of Game,1,5,0,0,1,0,0,1,0,3,2009
Defensive Holding,6,30,0,0,3,3,0,6,0,3,2009
Defensive Offside,10,42,3,0,8,2,0,8,2,3,2009
Defensive Pass Interference,8,145,1,0,2,6,0,8,0,3,2009
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,3,2009
Delay of Game,9,45,1,0,3,6,8,0,1,3,2009
Delay of Kickoff,0,0,0,0,0,0,0,0,0,3,2009
Disqualification,0,0,0,0,0,0,0,0,0,3,2009
Encroachment,3,15,0,0,2,1,0,3,0,3,2009
Face Mask,0,0,0,0,0,0,0,0,0,3,2009
Face Mask (15 Yards),10,140,0,1,5,5,0,9,1,3,2009
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,3,2009
Fair Catch Interference,0,0,0,0,0,0,0,0,0,3,2009
False Start,41,204,0,0,17,24,37,0,4,3,2009
Horse Collar Tackle,1,15,0,0,1,0,0,1,0,3,2009
Illegal Bat,0,0,0,0,0,0,0,0,0,3,2009
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,3,2009
Illegal Block Above the Waist,11,105,0,0,6,5,2,0,9,3,2009
Illegal Contact,2,10,4,0,0,2,0,2,0,3,2009
Illegal Crackback,0,0,0,0,0,0,0,0,0,3,2009
Illegal Cut,0,0,0,0,0,0,0,0,0,3,2009
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,3,2009
Illegal Formation,2,10,1,0,2,0,1,0,1,3,2009
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,3,2009
Illegal Forward Pass,2,10,0,0,1,1,2,0,0,3,2009
Illegal Kick,0,0,0,0,0,0,0,0,0,3,2009
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,3,2009
Illegal Motion,2,10,1,0,1,1,2,0,0,3,2009
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,3,2009
Illegal Peelback,0,0,0,0,0,0,0,0,0,3,2009
Illegal Procedure,0,0,0,0,0,0,0,0,0,3,2009
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,3,2009
Illegal Shift,0,0,1,0,0,0,0,0,0,3,2009
Illegal Substitution,0,0,0,0,0,0,0,0,0,3,2009
Illegal Touch Kick,2,10,0,0,1,1,0,0,2,3,2009
Illegal Touch Pass,2,10,0,0,0,2,2,0,0,3,2009
Illegal Use of Hands,3,15,1,0,2,1,0,3,0,3,2009
Illegal Wedge,0,0,0,0,0,0,0,0,0,3,2009
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,3,2009
Ineligible Downfield Kick,1,5,0,0,0,1,0,0,1,3,2009
Ineligible Downfield Pass,1,5,1,0,1,0,1,0,0,3,2009
Intentional Grounding,3,33,0,0,2,1,3,0,0,3,2009
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,3,2009
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,3,2009
Kick Catch Interference,0,0,0,0,0,0,0,0,0,3,2009
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,3,2009
Leaping,0,0,0,0,0,0,0,0,0,3,2009
Leverage,0,0,0,0,0,0,0,0,0,3,2009
Low Block,0,0,0,0,0,0,0,0,0,3,2009
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,3,2009
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,3,2009
Neutral Zone Infraction,0,0,0,0,0,0,0,0,0,3,2009
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,3,2009
Offensive Holding,36,344,6,1,20,16,25,0,11,3,2009
Offensive Offside,0,0,0,0,0,0,0,0,0,3,2009
Offensive Pass Interference,10,98,0,0,4,6,10,0,0,3,2009
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,3,2009
Offside on Free Kick,2,10,0,0,0,2,0,0,2,3,2009
Personal Foul,2,25,0,0,1,1,0,2,0,3,2009
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,3,2009
Player Out of Bounds on Punt,1,5,0,0,1,0,0,0,1,3,2009
Roughing the Kicker,0,0,0,0,0,0,0,0,0,3,2009
Roughing the Passer,6,81,0,1,2,4,0,6,0,3,2009
Running Into the Kicker,0,0,0,0,0,0,0,0,0,3,2009
Short Free Kick,0,0,0,0,0,0,0,0,0,3,2009
Taunting,1,15,0,0,0,1,0,1,0,3,2009
Tripping,2,25,1,0,1,1,2,0,0,3,2009
Unnecessary Roughness,10,149,1,0,4,6,1,9,0,3,2009
Unsportsmanlike Conduct,2,26,0,1,1,1,0,1,1,3,2009
Chop Block,1,15,0,0,1,0,1,0,0,4,2009
Clipping,0,0,0,0,0,0,0,0,0,4,2009
Defensive 12 On-field,2,5,0,0,0,2,0,1,1,4,2009
Defensive Delay of Game,0,0,0,0,0,0,0,0,0,4,2009
Defensive Holding,9,45,3,0,4,5,0,8,1,4,2009
Defensive Offside,4,17,7,0,2,2,0,2,2,4,2009
Defensive Pass Interference,11,133,0,0,5,6,0,11,0,4,2009
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,4,2009
Delay of Game,6,30,0,0,2,4,6,0,0,4,2009
Delay of Kickoff,0,0,0,0,0,0,0,0,0,4,2009
Disqualification,0,0,0,0,0,0,0,0,0,4,2009
Encroachment,4,20,3,0,1,3,0,3,1,4,2009
Face Mask,0,0,0,0,0,0,0,0,0,4,2009
Face Mask (15 Yards),5,75,0,0,1,4,1,3,1,4,2009
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,4,2009
Fair Catch Interference,0,0,0,0,0,0,0,0,0,4,2009
False Start,28,141,0,0,12,16,28,0,0,4,2009
Horse Collar Tackle,1,15,0,1,0,1,0,0,1,4,2009
Illegal Bat,0,0,0,0,0,0,0,0,0,4,2009
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,4,2009
Illegal Block Above the Waist,4,34,0,0,2,2,1,0,3,4,2009
Illegal Contact,2,10,2,0,1,1,0,2,0,4,2009
Illegal Crackback,0,0,0,1,0,0,0,0,0,4,2009
Illegal Cut,0,0,0,0,0,0,0,0,0,4,2009
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,4,2009
Illegal Formation,5,25,2,0,3,2,3,0,2,4,2009
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,4,2009
Illegal Forward Pass,1,5,0,0,0,1,1,0,0,4,2009
Illegal Kick,0,0,0,0,0,0,0,0,0,4,2009
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,4,2009
Illegal Motion,1,6,1,0,1,0,0,0,1,4,2009
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,4,2009
Illegal Peelback,0,0,0,0,0,0,0,0,0,4,2009
Illegal Procedure,0,0,0,0,0,0,0,0,0,4,2009
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,4,2009
Illegal Shift,2,5,0,0,0,2,2,0,0,4,2009
Illegal Substitution,1,5,0,0,0,1,1,0,0,4,2009
Illegal Touch Kick,0,0,0,0,0,0,0,0,0,4,2009
Illegal Touch Pass,0,0,0,0,0,0,0,0,0,4,2009
Illegal Use of Hands,2,15,2,0,1,1,0,1,1,4,2009
Illegal Wedge,0,0,0,0,0,0,0,0,0,4,2009
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,4,2009
Ineligible Downfield Kick,2,10,0,0,0,2,0,0,2,4,2009
Ineligible Downfield Pass,1,5,1,0,0,1,1,0,0,4,2009
Intentional Grounding,2,23,0,0,1,1,2,0,0,4,2009
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,4,2009
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,4,2009
Kick Catch Interference,0,0,0,0,0,0,0,0,0,4,2009
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,4,2009
Leaping,0,0,0,0,0,0,0,0,0,4,2009
Leverage,0,0,0,0,0,0,0,0,0,4,2009
Low Block,0,0,0,0,0,0,0,0,0,4,2009
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,4,2009
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,4,2009
Neutral Zone Infraction,4,19,0,0,3,1,0,3,1,4,2009
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,4,2009
Offensive Holding,32,304,2,0,14,18,22,0,10,4,2009
Offensive Offside,0,0,0,0,0,0,0,0,0,4,2009
Offensive Pass Interference,6,60,2,0,5,1,6,0,0,4,2009
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,4,2009
Offside on Free Kick,2,10,0,0,1,1,1,0,1,4,2009
Personal Foul,5,73,0,0,3,2,1,3,1,4,2009
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,4,2009
Player Out of Bounds on Punt,0,0,0,0,0,0,0,0,0,4,2009
Roughing the Kicker,1,15,0,0,1,0,0,1,0,4,2009
Roughing the Passer,3,45,0,0,0,3,0,3,0,4,2009
Running Into the Kicker,0,0,1,0,0,0,0,0,0,4,2009
Short Free Kick,0,0,0,0,0,0,0,0,0,4,2009
Taunting,1,15,0,0,0,1,0,1,0,4,2009
Tripping,2,20,0,0,1,1,2,0,0,4,2009
Unnecessary Roughness,5,66,0,1,3,2,1,3,1,4,2009
Unsportsmanlike Conduct,3,40,0,3,1,2,0,3,0,4,2009
Chop Block,2,30,0,0,2,0,1,0,1,5,2009
Clipping,0,0,0,0,0,0,0,0,0,5,2009
Defensive 12 On-field,1,5,1,1,0,1,0,1,0,5,2009
Defensive Delay of Game,0,0,0,0,0,0,0,0,0,5,2009
Defensive Holding,5,30,0,2,0,5,0,4,1,5,2009
Defensive Offside,12,59,10,1,5,7,0,12,0,5,2009
Defensive Pass Interference,14,234,1,0,8,6,0,14,0,5,2009
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,5,2009
Delay of Game,8,38,0,0,2,6,8,0,0,5,2009
Delay of Kickoff,0,0,0,0,0,0,0,0,0,5,2009
Disqualification,0,0,0,0,0,0,0,0,0,5,2009
Encroachment,4,20,0,0,2,2,0,4,0,5,2009
Face Mask,0,0,0,0,0,0,0,0,0,5,2009
Face Mask (15 Yards),5,74,0,0,3,2,0,3,2,5,2009
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,5,2009
Fair Catch Interference,0,0,0,0,0,0,0,0,0,5,2009
False Start,40,184,0,0,22,18,38,0,2,5,2009
Horse Collar Tackle,2,30,0,0,1,1,0,0,2,5,2009
Illegal Bat,0,0,0,0,0,0,0,0,0,5,2009
Illegal Blindside Block,0,0,0,0,0,0,0,0,0,5,2009
Illegal Block Above the Waist,8,70,1,0,5,3,2,0,6,5,2009
Illegal Contact,7,34,4,0,4,3,0,7,0,5,2009
Illegal Crackback,0,0,1,0,0,0,0,0,0,5,2009
Illegal Cut,0,0,0,0,0,0,0,0,0,5,2009
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,5,2009
Illegal Formation,4,16,1,0,1,3,3,1,0,5,2009
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,5,2009
Illegal Forward Pass,0,0,0,0,0,0,0,0,0,5,2009
Illegal Kick,0,0,0,0,0,0,0,0,0,5,2009
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,5,2009
Illegal Motion,0,0,0,0,0,0,0,0,0,5,2009
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,5,2009
Illegal Peelback,0,0,0,0,0,0,0,0,0,5,2009
Illegal Procedure,0,0,0,0,0,0,0,0,0,5,2009
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,5,2009
Illegal Shift,0,0,0,1,0,0,0,0,0,5,2009
Illegal Substitution,0,0,0,0,0,0,0,0,0,5,2009
Illegal Touch Kick,0,0,0,0,0,0,0,0,0,5,2009
Illegal Touch Pass,0,0,0,0,0,0,0,0,0,5,2009
Illegal Use of Hands,1,5,0,0,1,0,0,1,0,5,2009
Illegal Wedge,0,0,0,0,0,0,0,0,0,5,2009
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,5,2009
Ineligible Downfield Kick,2,10,0,0,1,1,0,0,2,5,2009
Ineligible Downfield Pass,1,5,1,0,0,1,1,0,0,5,2009
Intentional Grounding,2,28,0,0,1,1,2,0,0,5,2009
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,5,2009
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,5,2009
Kick Catch Interference,0,0,0,0,0,0,0,0,0,5,2009
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,5,2009
Leaping,0,0,0,0,0,0,0,0,0,5,2009
Leverage,0,0,0,0,0,0,0,0,0,5,2009
Low Block,0,0,0,0,0,0,0,0,0,5,2009
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,5,2009
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,5,2009
Neutral Zone Infraction,3,10,0,0,3,0,0,3,0,5,2009
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,5,2009
Offensive Holding,29,288,8,3,15,14,24,0,5,5,2009
Offensive Offside,0,0,0,0,0,0,0,0,0,5,2009
Offensive Pass Interference,5,50,0,0,4,1,5,0,0,5,2009
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,5,2009
Offside on Free Kick,1,5,0,0,1,0,0,0,1,5,2009
Personal Foul,5,60,0,0,3,2,2,1,2,5,2009
Player Out of Bounds on Kick,0,0,0,0,0,0,0,0,0,5,2009
Player Out of Bounds on Punt,0,0,0,0,0,0,0,0,0,5,2009
Roughing the Kicker,0,0,0,0,0,0,0,0,0,5,2009
Roughing the Passer,8,102,0,0,5,3,0,8,0,5,2009
Running Into the Kicker,1,5,0,0,1,0,0,0,1,5,2009
Short Free Kick,0,0,0,0,0,0,0,0,0,5,2009
Taunting,1,11,0,0,0,1,0,1,0,5,2009
Tripping,1,10,0,0,1,0,1,0,0,5,2009
Unnecessary Roughness,13,195,0,0,7,6,3,9,1,5,2009
Unsportsmanlike Conduct,2,23,0,0,0,2,1,0,1,5,2009
Chop Block,0,0,0,0,0,0,0,0,0,6,2009
Clipping,0,0,0,0,0,0,0,0,0,6,2009
Defensive 12 On-field,3,15,0,0,1,2,0,1,2,6,2009
Defensive Delay of Game,1,5,0,0,0,1,0,0,1,6,2009
Defensive Holding,6,35,1,0,6,0,0,5,1,6,2009
Defensive Offside,14,70,8,1,5,9,0,14,0,6,2009
Defensive Pass Interference,14,258,4,1,5,9,0,14,0,6,2009
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,6,2009
Delay of Game,5,25,3,0,3,2,5,0,0,6,2009
Delay of Kickoff,0,0,0,0,0,0,0,0,0,6,2009
Disqualification,2,29,0,0,1,1,0,0,2,6,2009
Encroachment,5,25,0,0,0,5,0,5,0,6,2009
Face Mask,0,0,0,0,0,0,0,0,0,6,2009
Face Mask (15 Yards),5,75,0,0,3,2,0,2,3,6,2009
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,6,2009
Fair Catch Interference,0,0,0,0,0,0,0,0,0,6,2009
False Start,31,155,0,0,18,13,31,0,0,6,2009
Horse Collar Tackle,3,44,0,0,1,2,0,2,1,6,2009
Illegal Bat,0,0,0,0,0,0,0,0,0,6,2009
Illegal Blindside Block,1,10,0,0,0,1,1,0,0,6,2009
Illegal Block Above the Waist,3,27,0,0,1,2,1,0,2,6,2009
Illegal Contact,5,30,2,0,4,1,0,5,0,6,2009
Illegal Crackback,0,0,0,0,0,0,0,0,0,6,2009
Illegal Cut,0,0,0,0,0,0,0,0,0,6,2009
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,6,2009
Illegal Formation,3,15,1,0,2,1,2,0,1,6,2009
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,6,2009
Illegal Forward Pass,1,5,0,0,0,1,1,0,0,6,2009
Illegal Kick,0,0,0,0,0,0,0,0,0,6,2009
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,6,2009
Illegal Motion,0,0,0,1,0,0,0,0,0,6,2009
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,6,2009
Illegal Peelback,0,0,0,0,0,0,0,0,0,6,2009
Illegal Procedure,0,0,0,0,0,0,0,0,0,6,2009
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,6,2009
Illegal Shift,1,4,1,0,0,1,1,0,0,6,2009
Illegal Substitution,2,10,0,0,1,1,2,0,0,6,2009
Illegal Touch Kick,0,0,0,0,0,0,0,0,0,6,2009
Illegal Touch Pass,1,5,0,0,1,0,1,0,0,6,2009
Illegal Use of Hands,0,0,0,0,0,0,0,0,0,6,2009
Illegal Wedge,0,0,0,0,0,0,0,0,0,6,2009
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,6,2009
Ineligible Downfield Kick,0,0,0,0,0,0,0,0,0,6,2009
Ineligible Downfield Pass,0,0,1,0,0,0,0,0,0,6,2009
Intentional Grounding,1,21,0,0,1,0,1,0,0,6,2009
Interference with Opportunity to Catch,0,0,1,0,0,0,0,0,0,6,2009
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,6,2009
Kick Catch Interference,0,0,0,0,0,0,0,0,0,6,2009
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,6,2009
Leaping,0,0,0,0,0,0,0,0,0,6,2009
Leverage,0,0,0,0,0,0,0,0,0,6,2009
Low Block,0,0,0,0,0,0,0,0,0,6,2009
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,6,2009
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,6,2009
Neutral Zone Infraction,4,20,1,0,2,2,0,3,1,6,2009
Offensive 12 On-field,0,0,0,0,0,0,0,0,0,6,2009
Offensive Holding,33,323,3,1,16,17,23,0,10,6,2009
Offensive Offside,0,0,0,0,0,0,0,0,0,6,2009
Offensive Pass Interference,2,20,1,0,1,1,2,0,0,6,2009
Offensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,6,2009
